STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap,awc_below_80,awc_below_95,operational_priority_score,coverage_gap_pct,awc_below_80_pct,awc_below_95_pct
Odisha,Balasore,Baliapal,387,14201,14196,99.97408268733851,2.145064599483204,0.8536434108527132,2.5778036175710595,0,0,99.96479121188648,0.0,0.0,1.0,2.0,384.0,5,0.0,1.0,1.4680336046502531,0.035208788113513134,0.0,0.2583979328165375
Odisha,Bargarh,AMBABHONA,155,3577,3576,99.9503870967742,1.268709677419355,0.8692258064516128,2.5456129032258064,0,0,99.97204361196533,0.0,0.0,1.0,0.0,154.0,1,0.0,1.0,3.3655883917862326,0.02795638803466592,0.0,0.6451612903225806
Odisha,Bargarh,BHATLI,174,5837,5835,99.9705172413793,0.9551724137931034,1.2070689655172413,2.4305747126436783,0,0,99.96573582319684,0.0,0.0,1.0,0.0,173.0,2,0.0,1.0,3.044884102406566,0.03426417680315231,0.0,0.5747126436781609
Odisha,Bargarh,SOHELA,328,8569,8567,99.97926829268292,0.598719512195122,0.3028963414634146,1.0577439024390243,0,0,99.97666005368188,0.0,0.0,0.0,2.0,326.0,2,0.0,0.0,0.11669973159061735,0.02333994631812347,0.0,0.0
Odisha,Bargarh,BIJEPUR,219,7015,7014,99.97922374429224,0.36456621004566214,0.24337899543378994,0.7631506849315068,0,0,99.98574483250178,0.0,0.0,0.0,1.0,218.0,1,0.0,0.0,0.07127583749109052,0.014255167498218105,0.0,0.0
Odisha,Bargarh,BARPALI,208,7746,7745,99.99038461538461,1.3253846153846154,0.7509134615384615,2.165576923076923,0,0,99.98709011102504,0.0,0.0,0.0,1.0,207.0,1,0.0,0.0,0.06454944487477407,0.012909888974954814,0.0,0.0
Odisha,Bhadrak,Chandbali-Ii(R),208,8723,8717,99.9316826923077,0.6385576923076923,0.9049038461538461,1.4402884615384615,0,0,99.93121632465895,0.0,0.0,0.0,5.0,203.0,6,0.0,0.0,0.343918376705262,0.0687836753410524,0.0,0.0
Odisha,Bhadrak,Bhandaripokhari,240,8908,8904,99.965375,1.5464583333333333,1.1797916666666666,2.7814166666666664,0,0,99.95509654243376,0.0,0.0,0.0,4.0,236.0,4,0.0,0.0,0.22451728783116298,0.044903457566232596,0.0,0.0
Odisha,Bhadrak,Tihidi,304,14030,14025,99.96121710526316,0.8887828947368421,1.1217763157894736,2.853651315789474,0,0,99.96436208125445,0.0,0.0,0.0,4.0,300.0,5,0.0,0.0,0.1781895937277263,0.03563791874554526,0.0,0.0
Odisha,Bhadrak,Bonth,238,9300,9297,99.95558823529412,0.8497058823529411,0.6534873949579832,2.331806722689076,0,0,99.96774193548387,0.0,0.0,0.0,3.0,235.0,3,0.0,0.0,0.16129032258064516,0.03225806451612903,0.0,0.0
Odisha,Bhadrak,Bhadrak,450,23025,23018,99.98011111111111,0.6860666666666667,0.5649111111111111,1.252,0,0,99.96959826275787,0.0,0.0,0.0,4.0,446.0,7,0.0,0.0,0.15200868621064062,0.03040173724212812,0.0,0.0
Odisha,Boudh,Boudh,253,13125,13103,99.72102766798419,1.4737549407114625,0.5818181818181818,2.01403162055336,0,0,99.83238095238094,1.0,0.0,0.0,3.0,249.0,22,1.0,1.0,10.719518162996422,0.1676190476190476,0.3952569169960474,0.3952569169960474
Odisha,Boudh,Harbhanga,219,10430,10427,99.97132420091324,1.6589954337899544,0.3599543378995434,2.36337899543379,0,0,99.9712368168744,0.0,0.0,1.0,1.0,217.0,3,0.0,1.0,2.426920938459046,0.02876318312559923,0.0,0.45662100456621
Odisha,Boudh,Kantamal,255,12412,12412,100.0,2.443686274509804,0.48305882352941176,3.0660000000000003,0,0,100.0,0.0,0.0,0.0,0.0,255.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Cuttack,Cuttack City - I,159,10793,10742,99.74842767295597,0.46767295597484276,0.09547169811320755,0.3952201257861635,0,0,99.5274715093116,0.0,1.0,0.0,2.0,156.0,51,1.0,1.0,18.085912893693617,0.4725284906884092,0.628930817610063,0.628930817610063
Odisha,Cuttack,Cuttack City - II,131,10618,10608,99.90015267175572,0.6723664122137405,0.29603053435114507,0.8767175572519084,0,0,99.90582030514221,0.0,0.0,1.0,1.0,129.0,10,0.0,1.0,4.287692367418714,0.09417969485778867,0.0,0.7633587786259541
