STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap
Odisha,Balasore,Bhograi Ii,171,5931,5930,99.9798245614035,0.785672514619883,0.4026315789473684,1.3434502923976608,0,0,99.98313943685719,0.0,0.0,0.0,1.0,170.0,1
Odisha,Balasore,Jaleswar,380,14511,14510,99.98947368421052,1.9540526315789473,0.9424999999999999,2.6777105263157894,0,0,99.99310867617669,0.0,0.0,0.0,1.0,379.0,1
Odisha,Balasore,Khaira,348,11229,11220,99.94566091954022,1.826522988505747,1.0995689655172414,3.4972988505747127,0,0,99.9198503873898,0.0,0.0,1.0,3.0,344.0,9
Odisha,Balasore,Nilagiri,389,9996,9989,99.93419023136248,3.11426735218509,1.9893316195372752,4.828637532133676,0,0,99.92997198879551,0.0,0.0,2.0,3.0,384.0,7
Odisha,Balasore,Oupada,172,5758,5757,99.99063953488371,2.723895348837209,1.3440116279069767,2.8648837209302327,0,0,99.98263285863148,0.0,0.0,0.0,1.0,171.0,1
Odisha,Balasore,Remuna,359,15047,15046,99.99484679665738,2.627632311977716,1.07966573816156,3.5101949860724235,0,0,99.99335415697482,0.0,0.0,0.0,1.0,358.0,1
Odisha,Balasore,Simulia,218,8112,8109,99.97848623853211,1.1495871559633029,0.5352293577981652,1.3793119266055045,0,0,99.96301775147928,0.0,0.0,0.0,1.0,217.0,3
Odisha,Balasore,Soro,329,10946,10944,99.97671732522795,1.159756838905775,0.3539209726443769,1.233161094224924,0,0,99.98172848529143,0.0,0.0,1.0,1.0,327.0,2
Odisha,Bargarh,AMBABHONA,155,3577,3576,99.9503870967742,1.268709677419355,0.8692258064516128,2.5456129032258064,0,0,99.97204361196533,0.0,0.0,1.0,0.0,154.0,1
Odisha,Bargarh,ATTABIRA,331,9107,9107,100.0,0.9999395770392749,0.47975830815709963,1.6105740181268884,0,0,100.0,0.0,0.0,0.0,0.0,331.0,0
Odisha,Bargarh,BARGARH RURAL,308,9351,9351,100.0,0.8990584415584415,0.5187662337662338,1.312142857142857,0,0,100.0,0.0,0.0,0.0,0.0,308.0,0
Odisha,Bargarh,BARGARH URBAN,142,5853,5853,100.0,0.38345070422535216,0.4529577464788732,1.0475352112676057,0,0,100.0,0.0,0.0,0.0,0.0,142.0,0
Odisha,Bargarh,BARPALI,208,7746,7745,99.99038461538461,1.3253846153846154,0.7509134615384615,2.165576923076923,0,0,99.98709011102504,0.0,0.0,0.0,1.0,207.0,1
Odisha,Bargarh,BHATLI,174,5837,5835,99.9705172413793,0.9551724137931034,1.2070689655172413,2.4305747126436783,0,0,99.96573582319684,0.0,0.0,1.0,0.0,173.0,2
Odisha,Bargarh,BHEDEN,265,7871,7871,100.0,1.3676981132075472,0.7562641509433962,2.546037735849057,0,0,100.0,0.0,0.0,0.0,0.0,265.0,0
Odisha,Bargarh,BIJEPUR,219,7015,7014,99.97922374429224,0.36456621004566214,0.24337899543378994,0.7631506849315068,0,0,99.98574483250178,0.0,0.0,0.0,1.0,218.0,1
